,text,tokens,actual,predicted
0,Ámsterdan en 1718,Ámsterdan en Áms mst ste ter erd rda dan ane nen ,gl,de
1,Adams-Farwell • Adler,AdamsFarwell A d a m s F a r w e l l • • Adler A d l e r Ada dam ams msF sFa Far arw rwe wel ell ll  l •  •  • A  Ad Adl dle ler ,uk,pl
2,[ 27 ],,cs,en
3,", 5.756 no",no ,gl,pt
4,"' alfabet grec , per indicar que Crist és el principi i el fi ; el símbol del peix ΙΧΘΥΣ «ikhtus» , en grec acròstic de Ἰησοῦς Χριστός , Θεοῦ Υἱός , Σωτήρ , ( Iesous Khristos Theos uios Soter",alfabet a l f a b e t grec g r e c per p e r indicar i n d i c a r que q u e Crist C r i s t és é s el e l principi p r i n c i p i i i el e l fi f i el e l símbol s í m b o l del d e l peix p e i x ΙΧΘΥΣ Ι Χ Θ Υ Σ «ikhtus» « i k h t u s » en e n grec g r e c acròstic a c r ò s t i c de d e Ἰησοῦς Ἰ η σ ο ῦ ς Χριστός Χ ρ ι σ τ ό ς Θεοῦ Θ ε ο ῦ Υἱός Υ ἱ ό ς Σωτήρ Σ ω τ ή ρ Iesous I e s o u s Khristos K h r i s t o s Theos T h e o s uios u i o s Soter S o t e r  al alf lfa fab abe bet et  t g  gr gre rec ec  c     p  pe per er  r i  in ind ndi dic ica car ar  r q  qu que ue  e C  Cr Cri ris ist st  t é  és és  s e  el el  l p  pr pri rin inc nci cip ipi pi  i i  i  i e  el el  l f  fi fi  i     e  el el  l s  sí sím ímb mbo bol ol  l d  de del el  l p  pe pei eix ix  x Ι  ΙΧ ΙΧΘ ΧΘΥ ΘΥΣ ΥΣ  Σ «  «i «ik ikh kht htu tus us» s»  »     e  en en  n g  gr gre rec ec  c a  ac acr crò ròs òst sti tic ic  c d  de de  e Ἰ  Ἰη Ἰησ ησο σοῦ οῦς ῦς  ς Χ  Χρ Χρι ρισ ιστ στό τός ός  ς     Θ  Θε Θεο εοῦ οῦ  ῦ Υ  Υἱ Υἱό ἱός ός  ς     Σ  Σω Σωτ ωτή τήρ ήρ  ρ         I  Ie Ies eso sou ous us  s K  Kh Khr hri ris ist sto tos os  s T  Th The heo eos os  s u  ui uio ios os  s S  So Sot ote ter ,ca,el
5,( ITU ),ITU I T U  IT ITU TU  ,fa,ro
6,"blood of their God , interpreting the symbolic ritual as",blood b l o o d of o f their t h e i r God G o d interpreting i n t e r p r e t i n g the t h e symbolic s y m b o l i c ritual r i t u a l as a s blo loo ood od  d o  of of  f t  th the hei eir ir  r G  Go God od  d     i  in int nte ter erp rpr pre ret eti tin ing ng  g t  th the he  e s  sy sym ymb mbo bol oli lic ic  c r  ri rit itu tua ual al  l a  as ,az,sv
7,所 、 裁判官訴追委,所 所 、 、 裁判官訴追委 裁 判 官 訴 追 委 所 、  、  、 裁  裁判 裁判官 判官訴 官訴追 訴追委 ,ja,zh
8,"Bill , not",Bill not Bil ill lln lno not ,de,sl
9,. De inviterede,De D e inviterede i n v i t e r e d e  De De  e i  in inv nvi vit ite ter ere red ede ,da,nl
10,Республика • Канада,Республика Р е с п у б л и к а • • Канада К а н а д а Рес есп спу пуб убл бли лик ика ка  а •  •  • К  Ка Кан ана над ада ,ru,ce
11,· Somalia · Djibouti,· · Somalia S o m a l i a · · Djibouti D j i b o u t i · S  So Som oma mal ali lia ia  a ·  ·  · D  Dj Dji jib ibo bou out uti ,fi,sv
12,) . Memoires,Memoires M e m o i r e s   M  Me Mem emo moi oir ire res ,hi,da
13,som skjer sund,som skjer sund som oms msk skj kje jer ers rsu sun und ,nn,no
14,. Nazvan je,Nazvan je Naz azv zva van anj nje ,hr,sh
15,Vida Juvan •,Vida Juvan • Vid ida daJ aJu Juv uva van an• ,sl,pt
16,umijeće i znanost,umijeće i znanost umi mij ije jeć eće ćei eiz izn zna nan ano nos ost ,sh,hr
17,va pas se,va pas se vap apa pas ass sse ,fr,it
18,`` Madam Batterflay,Madam M a d a m Batterflay B a t t e r f l a y  Ma Mad ada dam am  m B  Ba Bat att tte ter erf rfl fla lay ,az,da
19,eral Santos City,eral Santos City era ral alS lSa San ant nto tos osC sCi Cit ity ,war,it
20,declined as an,declined d e c l i n e d as a s an a n dec ecl cli lin ine ned ed  d a  as as  s a  an ,eo,ar
21,", Somonte ,",Somonte Som omo mon ont nte ,es,no
22,The Soldau concentration,The Soldau concentration The heS eSo Sol old lda dau auc uco con onc nce cen ent ntr tra rat ati tio ion ,en,fr
23,· СМІ ·,· · СМІ С М І · · · С  СМ СМІ МІ  І · ,be,uk
24,سازش کار نارایئن,سازش س ا ز ش کار ک ا ر نارایئن ن ا ر ا ی ئ ن ساز ازش زش  ش ک  کا کار ار  ر ن  نا نار ارا رای ایئ یئن ,ur,fa
25,de la nova,de d e la l a nova n o v a de  e l  la la  a n  no nov ova ,eo,ca
26,Empedoklo • Empiharm,Empedoklo • Empiharm Emp mpe ped edo dok okl klo lo• o•E •Em Emp mpi pih iha har arm ,hr,id
27,] . Soms,Soms S o m s   S  So Som oms ,nl,sv
28,1982 : New,New New ,no,en
29,20 ezer forint,ezer e z e r forint f o r i n t  ez eze zer er  r f  fo for ori rin int ,hu,eu
30,[ sic ],sic sic ,gl,en
31,for Wireless : How Radio was Invented ( or Discovered,for f o r Wireless W i r e l e s s How H o w Radio R a d i o was w a s Invented I n v e n t e d or o r Discovered D i s c o v e r e d for or  r W  Wi Wir ire rel ele les ess ss  s     H  Ho How ow  w R  Ra Rad adi dio io  o w  wa was as  s I  In Inv nve ven ent nte ted ed  d     o  or or  r D  Di Dis isc sco cov ove ver ere red ,az,nl
32,spage=179 .,spage s p a g e spa pag age ge  ,hi,lt
33,17 december 2007,december d e c e m b e r  de dec ece cem emb mbe ber er  ,sv,da
34,"of Brussels ,",of Brussels ofB fBr Bru rus uss sse sel els ,en,pt
35,или Куту (,или и л и Куту К у т у или ли  и К  Ку Кут уту ту  ,sr,ru
36,drivkraften i den,drivkraften d r i v k r a f t e n i i den d e n dri riv ivk vkr kra raf aft fte ten en  n i  i  i d  de den ,da,sv
37,", Elmag RTV",Elmag E l m a g RTV R T V  El Elm lma mag ag  g R  RT RTV ,cs,ca
38,a aft .,a a aft a f t a a  af aft ft  ,cs,da
39,"Denver , CO",Denver D e n v e r CO C O Den env nve ver er  r     C  CO ,hu,da
40,羌 ”,羌 羌 ” ” 羌 ” ,zh,sv
41,"] , partizan",partizan p a r t i z a n   p  pa par art rti tiz iza zan ,uz,eu
42,original on May,original o r i g i n a l on o n May M a y ori rig igi gin ina nal al  l o  on on  n M  Ma May ,hi,ru
43,Department for Work,Department D e p a r t m e n t for f o r Work W o r k Dep epa par art rtm tme men ent nt  t f  fo for or  r W  Wo Wor ork ,hi,ar
44,"Ibrahim Pasha ( 1830–1840 ) , den egyptiske generalen ,",Ibrahim Pasha – den egyptiske generalen Ibr bra rah ahi him imP mPa Pas ash sha ha– a–d –de den ene neg egy gyp ypt pti tis isk ske keg ege gen ene ner era ral ale len ,nn,no
45,dengan kehendak untuk,dengan kehendak untuk den eng nga gan ank nke keh ehe hen end nda dak aku kun unt ntu tuk ,ms,id
46,entre governos que,entre governos que ent ntr tre reg ego gov ove ver ern rno nos osq squ que ,pt,gl
47,for fullt i,for fullt i for orf rfu ful ull llt lti ,nn,no
48,Star cluster ),Star S t a r cluster c l u s t e r Sta tar ar  r c  cl clu lus ust ste ter er  ,kk,sv
49,teniente coronel Valentín,teniente coronel Valentín ten eni nie ien ent nte tec eco cor oro ron one nel elV lVa Val ale len ent ntí tín ,es,it
50,биіктігі 902 м-ге,биіктігі б и і к т і г і мге м г е биі иік ікт кті тіг ігі гі  і     м  мг мге ,kk,uk
51,"popular encyclopedias ,",popular encyclopedias pop opu pul ula lar are ren enc ncy cyc ycl clo lop ope ped edi dia ias ,en,sh
52,· М. Бондар,· · М М Бондар Б о н д а р · М  М  М Б  Бо Бон онд нда дар ,uk,be
