,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,780,0,0,0,1,0,0,0,0,3,0,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,341,0,0,1,0,0,1,1,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,8,0,0,1,0,0,0,0
2,0,0,374,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3,0,1,1,510,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,5,0,0,0,2,0,0,0,0,0,0
4,0,0,0,0,512,0,0,1,0,2,0,15,1,16,0,1,0,1,14,4,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,2,0,2,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
5,0,0,2,1,0,90,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0
6,0,0,0,0,1,0,47,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7,0,0,0,0,2,0,0,420,2,2,0,7,0,1,0,2,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,5,1,0,2,0,0,0,0,0,0,0,0,0
8,0,0,0,0,5,0,0,0,485,3,0,13,2,2,0,4,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,4,32,9,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0
9,0,0,0,0,1,0,0,0,4,850,0,36,0,0,0,0,0,1,4,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,2,0,1,1,1,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0,2,505,22,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,0,0,0,0,4,0,0,0,0,10,0,841,0,2,1,0,0,0,7,2,0,0,1,3,0,1,1,0,0,0,0,1,0,0,1,1,0,3,1,1,4,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0
12,0,1,0,0,3,0,0,1,2,2,0,33,316,5,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,1,3,0,2,2,0,1,0,1,1,0,0,0,1,0,0,0,0
13,0,0,0,0,18,0,0,1,0,4,0,12,1,927,1,3,0,1,7,19,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,3,1,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,2,0,2,167,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
15,0,0,0,0,3,0,0,0,1,1,0,2,0,5,0,316,0,0,2,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2,0,0,0,1,0,0,0,2,3,0,12,2,0,0,1,354,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
17,0,0,0,0,2,0,0,0,0,4,0,5,0,3,2,0,0,279,2,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,0,0,0,0,4,0,0,1,1,7,0,11,0,9,0,1,0,0,713,2,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,0,3,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
