,text,tokens,actual,predicted
0,24 de juliol,de juliol  de de  e j  ju jul uli lio iol ,ca,es
1, ] ,,ja,en
2,finca de la,finca f i n c a de d e la l a fin inc nca ca  a d  de de  e l  la ,es,ca
3,Fossen i 1978,Fossen F o s s e n i i Fos oss sse sen en  n i  i  ,no,nl
4,je 70 %,je je  e   ,eo,sh
5,· Mallorca ·,· Mallorca · · M  Ma Mal all llo lor orc rca ca  a · ,sv,it
6,Scrambles To Contain,Scrambles S c r a m b l e s To T o Contain C o n t a i n Scr cra ram amb mbl ble les es  s T  To To  o C  Co Con ont nta tai ain ,ar,ca
7,ur . 14,ur ur  r   ,pl,de
8,20 часова и,часова ч а с о в а и и  ча час асо сов ова ва  а и ,sr,bg
9,"bons , forts",bons forts bon ons ns  s     f  fo for ort rts ,fr,en
10,8 . Bandes,Bandes   B  Ba Ban and nde des ,de,en
11,the Hubble Space,the Hubble Space the he  e H  Hu Hub ubb bbl ble le  e S  Sp Spa pac ace ,kk,en
12,pribadi [ sunting,pribadi sunting pri rib iba bad adi di  i     s  su sun unt nti tin ing ,id,ms
13,69 bolničkih ustanova,bolničkih ustanova  bo bol oln lni nič ičk čki kih ih  h u  us ust sta tan ano nov ova ,sh,hr
14,"Grindstaff , Allen",Grindstaff G r i n d s t a f f Allen A l l e n Gri rin ind nds dst sta taf aff ff  f     A  Al All lle len ,sh,nl
15,", [ 118",,fr,en
16,[ 168 ],,da,en
17,"precizionizam , fotorealizam",precizionizam fotorealizam pre rec eci ciz izi zio ion oni niz iza zam am  m     f  fo fot oto tor ore rea eal ali liz iza zam ,sh,hr
18,1983 · 1984,· ·  ·  ,tr,no
19,Astro Prima .,Astro Prima Ast str tro ro  o P  Pr Pri rim ima ma  ,ms,it
20,· Kluivert ·,· Kluivert · · K  Kl Klu lui uiv ive ver ert rt  t · ,da,no
21,med produktion i,med m e d produktion p r o d u k t i o n i i med ed  d p  pr pro rod odu duk ukt kti tio ion on  n i ,sv,da
22,her hopes and,her hopes and her er  r h  ho hop ope pes es  s a  an and ,hi,en
23,2014 ) [,,sl,en
24,( yombi ),yombi  yo yom omb mbi bi  ,uz,es
25,• Israel •,• Israel • • I  Is Isr sra rae ael el  l • ,da,vi
26,) : 605–616 [ 14 April 2011 ] . Bibcode,– April Bibcode   –  –  –         A  Ap Apr pri ril il  l             B  Bi Bib ibc bco cod ode ,zh,de
27,] Software giants,Software giants  So Sof oft ftw twa war are re  e g  gi gia ian ant nts ,en,de
28,que siguen vigentes,que q u e siguen s i g u e n vigentes v i g e n t e s que ue  e s  si sig igu gue uen en  n v  vi vig ige gen ent nte tes ,es,ca
29,") , Les",Les   L  Le Les ,tr,fr
30,George Herbert Walker,George Herbert Walker Geo eor org rge ge  e H  He Her erb rbe ber ert rt  t W  Wa Wal alk lke ker ,pl,de
31,quam Latine loquentes,quam q u a m Latine L a t i n e loquentes l o q u e n t e s qua uam am  m L  La Lat ati tin ine ne  e l  lo loq oqu que uen ent nte tes ,la,lorem
32,118 m ),m m  m  ,de,en
33,"J , U",J J U U J     U ,la,eo
34,· 1995 ·,· · · · ·     · ,ru,no
35,je 84 pravih,je pravih je  e     p  pr pra rav avi vih ,sl,hr
36,14 мая 1912,мая м а я  ма мая ая  ,ru,be
37,"e berberes ,",e berberes e b  be ber erb rbe ber ere res es  ,pt,la
38,"29 juni ,",juni  ju jun uni ni  ,sv,ru
39,kag usa (,kag usa kag ag  g u  us usa sa  ,war,ceb
40,AF % D8 % A7 % D8 % B1 %,AF A F D D A A D D B B AF  F     D  D  D     A  A  A     D  D  D     B  B  ,fa,da
41,. Население наиболее,Население Н а с е л е н и е наиболее н а и б о л е е  На Нас асе сел еле лен ени ние ие  е н  на наи аиб ибо бол оле лее ,fi,ru
42,Bahasa Indonesia ),Bahasa Indonesia Bah aha has asa sa  a I  In Ind ndo don one nes esi sia ia  ,fa,id
43,2011 .,,de,en
44,of high-level nuclear,of highlevel nuclear of  f h  hi hig igh ghl hle lev eve vel el  l n  nu nuc ucl cle lea ear ,hi,en
45,", 19 ;",,he,en
46,"Asia Minor ) , 1000 B.C . – 1 A.D.",Asia A s i a Minor M i n o r BC B C – – AD A D Asi sia ia  a M  Mi Min ino nor or  r             B  BC BC  C     –  –  –     A  AD ,tr,en
47,• Бахрейн •,• • Бахрейн Б а х р е й н • • • Б  Ба Бах ахр хре рей ейн йн  н • ,kk,ce
48,njegovih jedinjenja .,njegovih jedinjenja nje jeg ego gov ovi vih ih  h j  je jed edi din inj nje jen enj nja ja  ,sh,hr
49,Frank Rijkaard y,Frank F r a n k Rijkaard R i j k a a r d y y Fra ran ank nk  k R  Ri Rij ijk jka kaa aar ard rd  d y ,es,fi
50,"prvenstva 2014. , uključujući i finale . [ 1 ]",prvenstva uključujući i finale prv rve ven ens nst stv tva va  a         u  uk ukl klj lju juč uču čuj uju juć ući ći  i i  i  i f  fi fin ina nal ale le  e           ,hr,sh
51,n i d o v i c h   P,n n i i d d o o v v i i c c h h P P n i  i  i d  d  d o  o  o v  v  v i  i  i c  c  c h  h  h         P ,ja,nl
52,e N,e N e N ,zh,fr
53,ноября 1988 г.,ноября н о я б р я г г ноя ояб ябр бря ря  я     г ,el,ru
54,missionera . Per,missionera Per mis iss ssi sio ion one ner era ra  a     P  Pe Per ,ca,it
55,Crew Development ),Crew Development Cre rew ew  w D  De Dev eve vel elo lop opm pme men ent nt  ,de,en
56,Geburtsjahr von Carl,Geburtsjahr von Carl Geb ebu bur urt rts tsj sja jah ahr hr  r v  vo von on  n C  Ca Car arl ,en,de
57,", né a",né a  né né  é a ,it,hu
58,00062510,,tr,en
59,kilomenter kan den,kilomenter kan den kil ilo lom ome men ent nte ter er  r k  ka kan an  n d  de den ,no,de
60,Anguilla · Bermuda · Britisk Antarktis · Det britiske territoriet,Anguilla · Bermuda · Britisk Antarktis · Det britiske territoriet Ang ngu gui uil ill lla la  a ·  ·  · B  Be Ber erm rmu mud uda da  a ·  ·  · B  Br Bri rit iti tis isk sk  k A  An Ant nta tar ark rkt kti tis is  s ·  ·  · D  De Det et  t b  br bri rit iti tis isk ske ke  e t  te ter err rri rit ito tor ori rie iet ,nn,no
61,[ 27 ],,cs,en
62,1982 : New,New N e w   N  Ne New ,no,en
63,"University Press ,",University U n i v e r s i t y Press P r e s s Uni niv ive ver ers rsi sit ity ty  y P  Pr Pre res ess ss  ,sh,ro
64,Her ) 3.48m,Her m Her er  r     m ,kk,de
65,sendt til byen,sendt s e n d t til t i l byen b y e n sen end ndt dt  t t  ti til il  l b  by bye yen ,nn,no
66,precisa de poder,precisa de poder pre rec eci cis isa sa  a d  de de  e p  po pod ode der ,pt,es
67,km² ) sunt,km² sunt km² m²  ²     s  su sun unt ,ro,la
68,Hop . Clive,Hop H o p Clive C l i v e Hop op  p     C  Cl Cli liv ive ,pt,nl
69,. Kent 1664,Kent  Ke Ken ent nt  ,tr,en
70,hamiter ) .,hamiter ham ami mit ite ter er  r   ,sv,de
71,in Southern Arabia,in Southern Arabia in  n S  So Sou out uth the her ern rn  n A  Ar Ara rab abi bia ,ar,en
72,", V. ;",V V  V  ,fa,de
73,`` Biographical Directory,Biographical B i o g r a p h i c a l Directory D i r e c t o r y  Bi Bio iog ogr gra rap aph phi hic ica cal al  l D  Di Dir ire rec ect cto tor ory ,el,vi
74,Luther . Et,Luther Et Lut uth the her er  r     E  Et ,da,en
75,de la cora,de la cora de  e l  la la  a c  co cor ora ,ca,es
76,. [ 215,,da,en
77,Dertycia • 5 Brown • 6 Díaz • 7 Funes,Dertycia D e r t y c i a • • Brown B r o w n • • Díaz D í a z • • Funes F u n e s Der ert rty tyc yci cia ia  a •  •  •     B  Br Bro row own wn  n •  •  •     D  Dí Día íaz az  z •  •  •     F  Fu Fun une nes ,pt,pl
78,| Sienitiede |,Sienitiede  Si Sie ien eni nit iti tie ied ede de  ,fi,de
79,198,,bg,en
80,Jackson e Teal'c,Jackson e Tealc Jac ack cks kso son on  n e  e  e T  Te Tea eal alc ,it,fr
81,"November 2007 , [ cit . 2011-04-16 ] . S.",November N o v e m b e r cit c i t S S Nov ove vem emb mbe ber er  r             c  ci cit it  t                 S ,cs,sv
82,Zenon • Empedokle,Zenon Z e n o n • • Empedokle E m p e d o k l e Zen eno non on  n •  •  • E  Em Emp mpe ped edo dok okl kle ,sh,eu
83,| Ratsastus |,Ratsastus R a t s a s t u s  Ra Rat ats tsa sas ast stu tus us  ,fi,et
84,27 . JUNI,JUNI J U N I   J  JU JUN UNI ,ru,da
85,17 ] té,té   t  té ,ca,fr
86,familiar with the,familiar with the fam ami mil ili lia iar ar  r w  wi wit ith th  h t  th the ,de,en
87,rio Mano .,rio Mano rio io  o M  Ma Man ano no  ,pt,it
88,"Ceán Bermúdez ,",Ceán C e á n Bermúdez B e r m ú d e z Ceá eán án  n B  Be Ber erm rmú múd úde dez ez  ,es,gl
89,Polen · Portugal,Polen · Portugal Pol ole len en  n ·  ·  · P  Po Por ort rtu tug uga gal ,nl,no
90,"Gains ) in the U.S. , 1913–2005 '' . UC",Gains in the US – UC Gai ain ins ns  s     i  in in  n t  th the he  e U  US US  S     –  –  –         U  UC ,ar,en
91,"sposobnosti , ki",sposobnosti ki spo pos oso sob obn bno nos ost sti ti  i     k  ki ,sl,hr
92,for Wireless : How Radio was Invented ( or Discovered,for Wireless How Radio was Invented or Discovered for or  r W  Wi Wir ire rel ele les ess ss  s     H  Ho How ow  w R  Ra Rad adi dio io  o w  wa was as  s I  In Inv nve ven ent nte ted ed  d     o  or or  r D  Di Dis isc sco cov ove ver ere red ,az,en
93,. In the absence of any good reasons to believe,In the absence of any good reasons to believe  In In  n t  th the he  e a  ab abs bse sen enc nce ce  e o  of of  f a  an any ny  y g  go goo ood od  d r  re rea eas aso son ons ns  s t  to to  o b  be bel eli lie iev eve ,sh,en
94,", kanon i",kanon k a n o n i i  ka kan ano non on  n i ,vo,fi
95,Sri Lanka (,Sri S r i Lanka L a n k a Sri ri  i L  La Lan ank nka ka  ,id,eo
96,) • Jurij,• • Jurij J u r i j  •  • J  Ju Jur uri rij ,sl,pl
97,Кабо-Верде • Камерун,КабоВерде К а б о В е р д е • • Камерун К а м е р у н Каб або боВ оВе Вер ерд рде де  е •  •  • К  Ка Кам аме мер еру рун ,uk,ce
98,9 5 6,,zh,en
